"","lea_street","City","lea_state","lea_zip"
"246","2555 East 1st Street","Tucson","AZ","85716"
"247","8340 West Northern Avenue","Glendale","AZ","85305"
"248","Phoenix, AZ Phoenix is a city in Maricopa county, Arizona","Phoenix","AZ",NA
"249","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"250","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"251","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"252","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"253","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"254","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"255","Mesa, AZ Mesa is a city in Maricopa county, Arizona","Mesa","AZ",NA
"256","Show Low, AZ Show Low is a city in Navajo county, Arizona","Show Low","AZ",NA
"257","1950 East Placita Sin Nombre","Tucson","AZ","85718"
"258","6710 West Calle Lejos","Peoria","AZ","85383"
"259","2632 West Augusta Avenue","Phoenix","AZ","85051"
"260","4567 West Roberts Road","Queen Creek","AZ","85142"
"261","25 East Drachman Street","Tucson","AZ","85705"
"262","4070 West Jefferson Road","Elfrida","AZ","85610"
"263","1011 North Sunshine Boulevard","Eloy","AZ","85131"
"264","Peoria, AZ Peoria is a city in Maricopa county, Arizona","Peoria","AZ",NA
"265","2411 West Colter Street","Phoenix","AZ","85015"
"266","4848 South 2nd Street","Phoenix","AZ","85040"
"267","4848 South 2nd Street","Phoenix","AZ","85040"
"268","4848 South 2nd Street","Phoenix","AZ","85040"
"269","3900 South 55th Avenue","Phoenix","AZ","85043"
"270","Glendale, AZ Glendale is a city in Maricopa county, Arizona","Glendale","AZ",NA
"271","1045 South San Marcos Drive","Apache Junction","AZ","85120"
"272","P.O. Box 750","Polacca","AZ","86042"
"273","7900 South Jesse Owens Parkway","Phoenix","AZ","85042"
"274","3401 North Fort Valley Road","Flagstaff","AZ","86001"
"275","306 West Cedar Avenue","Flagstaff","AZ","86001"
"276","850 North Locust Drive","Flagstaff","AZ","86001"
"277","3285 Sparrow Avenue","Flagstaff","AZ","86004"
"278","715 West Mariposa Street","Phoenix","AZ","85013"
"279","1000 South Main Street","Florence","AZ","85132"
"280","1556 West Prince Road","Tucson","AZ","85705"
"281","7191 Ashler Hills Drive","Scottsdale","AZ","85266"
"282","21110 Hines Rd","FORT HUACHUCA","AZ","85613"
"283","15560 W Elementary School Road","Fort Thomas","AZ","85536"
"284","16811 East El Pueblo Boulevard","Fountain Hills","AZ","85268"
"285","16000 East Palisades Boulevard","Fountain Hills","AZ","85268"
"286","1617 South 67th Avenue","Phoenix","AZ","85043"
"287","6116 Arizona 69","Prescott Valley","AZ","86314"
"288","9317 North 2nd Street","Phoenix","AZ","85020"
"289","Fredonia, AZ Fredonia is a city in Coconino county, Arizona","Fredonia","AZ",NA
"290","3916 East Paradise Lane","Phoenix","AZ","85032"
"291","802 South 1st Avenue","Phoenix","AZ","85003"
"292","1350 Juan Sanchez Boulevard","San Luis","AZ","85349"
"293","Hwy 264","Ganado","AZ","86505"
"294","1833 North Scottsdale Road","Tempe","AZ","85281"
"295","1704 North Center Street","Mesa","AZ","85201"
"296","525 East McDowell Road","Phoenix","AZ","85004"
"297","40 West Baseline Road","Tempe","AZ","85283"
"298","308 North Martin Avenue","Gila Bend","AZ","85337"
"299","439 South 4th Street","Globe","AZ","85501"
"300","4465 W Pecos Rd","Laveen","AZ","85339"
"301","3998 W BALLPARK ST","THATCHER","AZ","85552"
"302","1016 North Burk Street","Gilbert","AZ","85234"
"303","7301 North 58th Avenue","Glendale","AZ","85301"
"304","3102 N 56TH ST # 300","PHOENIX","AZ","85018"
"305","7650 North 43rd Avenue","Glendale","AZ","85301"
"306","7541 South Willow Drive","Tempe","AZ","85283"
"307","501 East Ash Street","Globe","AZ","85501"
"308","523 South 10th Avenue","Safford","AZ","85546"
